CODIGO,DESCRIPCION,URL_QR
FIAS.00.01.001,SILLON MILANO 2 CUERPOS,https://fias-activos.github.io/consulta/?codigo=FIAS.00.01.001
FIAS.01.02.010,RADIO GRABADORA,https://fias-activos.github.io/consulta/?codigo=FIAS.01.02.010
FIAS.03.03.026,IMPRESORA MATRICIAL,https://fias-activos.github.io/consulta/?codigo=FIAS.03.03.026
FIAS.04.01.003,ESTANTERIA METALICA REGULABLES,https://fias-activos.github.io/consulta/?codigo=FIAS.04.01.003
FIAS.04.01.004,ESTANTERIA METALICA REGULABLES,https://fias-activos.github.io/consulta/?codigo=FIAS.04.01.004
FIAS.04.01.005,ESTANTERIA METALICA REGULABLES,https://fias-activos.github.io/consulta/?codigo=FIAS.04.01.005
FIAS.04.01.006,ESTANTERIA METALICA REGULABLES,https://fias-activos.github.io/consulta/?codigo=FIAS.04.01.006
FIAS.06.01.002.1,ESTANTERIA METALICA,https://fias-activos.github.io/consulta/?codigo=FIAS.06.01.002.1
FIAS.06.01.002.2,ESTANTERIA METALICA,https://fias-activos.github.io/consulta/?codigo=FIAS.06.01.002.2
FIAS.06.01.002.3,ESTANTERIA METALICA,https://fias-activos.github.io/consulta/?codigo=FIAS.06.01.002.3
FIAS.10.03.009,SERVIDOR,https://fias-activos.github.io/consulta/?codigo=FIAS.10.03.009
FIAS.10.03.010,SERVIDOR,https://fias-activos.github.io/consulta/?codigo=FIAS.10.03.010
FIAS.14.01.019,PERCHERO,https://fias-activos.github.io/consulta/?codigo=FIAS.14.01.019
FIAS.14.01.007,ESTANTERIA METALICA,https://fias-activos.github.io/consulta/?codigo=FIAS.14.01.007
FIAS.14.01.021,BIBLIOTECA VERSALLES,https://fias-activos.github.io/consulta/?codigo=FIAS.14.01.021
FIAS.14.01.023,PIZARRA T/L 240 X 120 MAGNETICA,https://fias-activos.github.io/consulta/?codigo=FIAS.14.01.023
FIAS.01.02.011,HORNO MICROONDAS,https://fias-activos.github.io/consulta/?codigo=FIAS.01.02.011
FIAS.15.01.022,SILLA DE RUEDAS,https://fias-activos.github.io/consulta/?codigo=FIAS.15.01.022
FIAS.13.03.014,FIREWALL,https://fias-activos.github.io/consulta/?codigo=FIAS.13.03.014
FIAS.16.01.020,PERCHERO,https://fias-activos.github.io/consulta/?codigo=FIAS.16.01.020
FIAS.18.03.016,UPS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.03.016
